household_id,country,region_camp,family_size,members,head_age,head_gender,vulnerability_type,needs_category
CAM-0114321,Cambodia,Transit Center,3,"[{""age"": 10, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""F"", ""vulnerable_flag"": false}]",40,F,unaccompanied_minor,"education,wash"
MYA-0040896,Myanmar,Sagaing,4,"[{""age"": 47, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 17, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 72, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 47, ""gender"": ""F"", ""vulnerable_flag"": false}]",72,M,,protection
MYA-0067325,Myanmar,Shan Region,1,"[{""age"": 17, ""gender"": ""F"", ""vulnerable_flag"": false}]",17,F,,shelter
MYA-0034462,Myanmar,Rakhine IDP Camps,3,"[{""age"": 59, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 18, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 18, ""gender"": ""F"", ""vulnerable_flag"": false}]",59,F,pregnant_lactating,protection
MYA-0041184,Myanmar,Rakhine IDP Camps,4,"[{""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}]",42,F,,"food,livelihood,protection,wash"
MYA-0065061,Myanmar,Kachin Shelters,5,"[{""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 29, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 54, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}]",54,M,unaccompanied_minor,"food,education,wash"
CAM-0114563,Cambodia,Border Area 1,2,"[{""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 81, ""gender"": ""F"", ""vulnerable_flag"": false}]",81,F,,"wash,food,protection"
BAN-0011217,Bangladesh,Camp 26,5,"[{""age"": 31, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 33, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""M"", ""vulnerable_flag"": true}]",40,M,pregnant_lactating,"shelter,wash,protection"
MYA-0082112,Myanmar,Sagaing,4,"[{""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 12, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 47, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""M"", ""vulnerable_flag"": false}]",58,M,,"education,protection,shelter"
BAN-0007364,Bangladesh,Nayapara,6,"[{""age"": 23, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}]",58,F,,"wash,protection,food,medical"
MYA-0049634,Myanmar,Sagaing,5,"[{""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""M"", ""vulnerable_flag"": true}]",29,F,chronic_illness,"medical,shelter,protection"
MYA-0080244,Myanmar,Rakhine IDP Camps,3,"[{""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}]",44,F,unaccompanied_minor,"shelter,protection"
MYA-0107480,Myanmar,Kachin Shelters,6,"[{""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 18, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 45, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}]",56,F,unaccompanied_minor,wash
MYA-0108704,Myanmar,Sagaing,7,"[{""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 38, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}]",38,F,child_labor_risk,"livelihood,shelter,protection"
THA-0031119,Thailand,Umpiem Mai,3,"[{""age"": 19, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": true}]",28,F,gbv_survivor,"wash,shelter"
MYA-0087317,Myanmar,Kachin Shelters,3,"[{""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 49, ""gender"": ""F"", ""vulnerable_flag"": false}]",49,F,,"protection,wash,shelter"
MYA-0077412,Myanmar,Sagaing,3,"[{""age"": 33, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 55, ""gender"": ""F"", ""vulnerable_flag"": false}]",55,F,,"food,wash"
MYA-0071563,Myanmar,Sagaing,4,"[{""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 45, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""M"", ""vulnerable_flag"": false}]",45,M,,"protection,medical,education,shelter"
MYA-0055337,Myanmar,Kachin Shelters,4,"[{""age"": 17, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 33, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": true}]",33,F,child_labor_risk,"shelter,medical,education,protection"
MYA-0062906,Myanmar,Rakhine IDP Camps,7,"[{""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 47, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 9, ""gender"": ""F"", ""vulnerable_flag"": false}]",57,F,,protection
MYA-0111854,Myanmar,Kachin Shelters,6,"[{""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 39, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""M"", ""vulnerable_flag"": false}]",40,M,child_labor_risk,"livelihood,food,protection"
BAN-0023707,Bangladesh,Kutupalong,1,"[{""age"": 88, ""gender"": ""M"", ""vulnerable_flag"": true}]",88,M,elderly_at_risk,"protection,shelter"
MYA-0102857,Myanmar,Rakhine IDP Camps,7,"[{""age"": 68, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 33, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": true}]",68,M,malnutrition,"shelter,wash,food"
BAN-0010054,Bangladesh,Camp 24,4,"[{""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 9, ""gender"": ""F"", ""vulnerable_flag"": false}]",37,F,,"food,shelter,education"
BAN-0008443,Bangladesh,Camp 24,1,"[{""age"": 25, ""gender"": ""F"", ""vulnerable_flag"": true}]",25,F,disabled,"medical,education,food"
MYA-0034151,Myanmar,Shan Region,5,"[{""age"": 31, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 81, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}]",81,M,chronic_illness,medical
MYA-0093998,Myanmar,Rakhine IDP Camps,8,"[{""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 55, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 26, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 32, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 45, ""gender"": ""F"", ""vulnerable_flag"": false}]",55,M,single_parent,"food,education,wash"
BAN-0006556,Bangladesh,Camp 24,5,"[{""age"": 30, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 51, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}]",51,M,pregnant_lactating,"medical,education,food,shelter"
MYA-0083390,Myanmar,Rakhine IDP Camps,4,"[{""age"": 51, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 50, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 63, ""gender"": ""M"", ""vulnerable_flag"": true}]",63,M,chronic_illness,"food,wash"
MYA-0056525,Myanmar,Sagaing,3,"[{""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""F"", ""vulnerable_flag"": false}]",53,F,,shelter
BAN-0017907,Bangladesh,Camp 26,1,"[{""age"": 23, ""gender"": ""M"", ""vulnerable_flag"": false}]",23,M,,medical
MYA-0107263,Myanmar,Rakhine IDP Camps,8,"[{""age"": 23, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 30, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 23, ""gender"": ""M"", ""vulnerable_flag"": false}]",58,F,,"medical,wash"
MYA-0111231,Myanmar,Sagaing,3,"[{""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 46, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}]",46,M,unaccompanied_minor,"protection,livelihood"
MYA-0069842,Myanmar,Kachin Shelters,5,"[{""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 46, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 75, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""M"", ""vulnerable_flag"": false}]",75,M,,"shelter,education,protection,food"
MYA-0113286,Myanmar,Shan Region,4,"[{""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 60, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""M"", ""vulnerable_flag"": false}]",60,M,,"wash,education,livelihood,food"
BAN-0021157,Bangladesh,Kutupalong,6,"[{""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 9, ""gender"": ""F"", ""vulnerable_flag"": false}]",52,M,,"wash,medical,food"
MYA-0048081,Myanmar,Kachin Shelters,5,"[{""age"": 18, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 14, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}]",43,M,malnutrition,"shelter,education,medical"
MYA-0102084,Myanmar,Sagaing,5,"[{""age"": 68, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 79, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 75, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 60, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""M"", ""vulnerable_flag"": false}]",79,F,disabled,"shelter,wash,protection"
MAL-0026387,Malaysia,Johor,5,"[{""age"": 59, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 31, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""F"", ""vulnerable_flag"": false}]",59,F,,"livelihood,protection,shelter,education"
MYA-0054037,Myanmar,Shan Region,4,"[{""age"": 79, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 30, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 39, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 32, ""gender"": ""F"", ""vulnerable_flag"": true}]",79,M,single_parent,"shelter,wash,protection"
MYA-0096193,Myanmar,Shan Region,5,"[{""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 33, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}]",53,F,,"wash,shelter,food"
MYA-0081610,Myanmar,Shan Region,4,"[{""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}]",28,F,,"protection,livelihood"
MYA-0047999,Myanmar,Kachin Shelters,3,"[{""age"": 76, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 46, ""gender"": ""F"", ""vulnerable_flag"": false}]",76,M,,"food,medical,shelter,education"
BAN-0008287,Bangladesh,Kutupalong,7,"[{""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 35, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": true}]",48,F,unaccompanied_minor,"shelter,food,wash,livelihood"
MYA-0091383,Myanmar,Shan Region,4,"[{""age"": 0, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 50, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 73, ""gender"": ""M"", ""vulnerable_flag"": true}]",73,M,disabled,"livelihood,wash"
BAN-0008232,Bangladesh,Nayapara,4,"[{""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 70, ""gender"": ""M"", ""vulnerable_flag"": false}]",70,M,,medical
BAN-0016695,Bangladesh,Camp 26,2,"[{""age"": 30, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 51, ""gender"": ""F"", ""vulnerable_flag"": false}]",51,F,,"shelter,wash,education"
BAN-0021899,Bangladesh,Kutupalong,4,"[{""age"": 26, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 9, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": false}]",41,F,disabled,food
MYA-0086842,Myanmar,Rakhine IDP Camps,4,"[{""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 21, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""M"", ""vulnerable_flag"": false}]",37,F,disabled,"education,medical"
BAN-0017704,Bangladesh,Camp 26,5,"[{""age"": 29, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 51, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 62, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": false}]",62,F,chronic_illness,"medical,wash,livelihood,food"
MYA-0038782,Myanmar,Sagaing,5,"[{""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""F"", ""vulnerable_flag"": false}]",52,F,,"wash,food"
MYA-0068299,Myanmar,Kachin Shelters,7,"[{""age"": 90, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 36, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""M"", ""vulnerable_flag"": false}]",90,F,disabled,shelter
MYA-0062512,Myanmar,Shan Region,2,"[{""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 19, ""gender"": ""F"", ""vulnerable_flag"": false}]",37,M,,"education,protection"
MYA-0080402,Myanmar,Kachin Shelters,4,"[{""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 33, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}]",48,F,malnutrition,"livelihood,food"
MYA-0073148,Myanmar,Sagaing,5,"[{""age"": 56, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 62, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""F"", ""vulnerable_flag"": false}]",62,M,,medical
MYA-0113055,Myanmar,Rakhine IDP Camps,8,"[{""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 34, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""M"", ""vulnerable_flag"": false}]",34,F,unaccompanied_minor,"livelihood,education,protection"
MYA-0048683,Myanmar,Kachin Shelters,2,"[{""age"": 10, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": false}]",14,M,,"protection,food"
BAN-0017294,Bangladesh,Camp 24,6,"[{""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}]",58,F,malnutrition,"livelihood,education,shelter"
MAL-0028298,Malaysia,Klang Valley,5,"[{""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 85, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 65, ""gender"": ""M"", ""vulnerable_flag"": true}]",85,M,elderly_at_risk,"wash,education,medical,food"
CAM-0115829,Cambodia,Transit Center,4,"[{""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 79, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 46, ""gender"": ""F"", ""vulnerable_flag"": false}]",79,F,,"wash,food"
MAL-0025900,Malaysia,Klang Valley,4,"[{""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 54, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}]",54,F,child_labor_risk,"shelter,education,livelihood,protection"
CAM-0113984,Cambodia,Border Area 2,6,"[{""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 30, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}]",44,F,gbv_survivor,"wash,education,food"
MYA-0072775,Myanmar,Rakhine IDP Camps,7,"[{""age"": 14, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 32, ""gender"": ""M"", ""vulnerable_flag"": false}]",32,M,child_labor_risk,shelter
MYA-0095512,Myanmar,Rakhine IDP Camps,2,"[{""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}]",44,F,,"wash,education"
MYA-0041848,Myanmar,Shan Region,4,"[{""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 32, ""gender"": ""M"", ""vulnerable_flag"": true}]",58,F,malnutrition,"medical,protection"
BAN-0010598,Bangladesh,Bhasan Char,1,"[{""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}]",20,M,,"food,medical,shelter,wash"
MYA-0097586,Myanmar,Shan Region,1,"[{""age"": 35, ""gender"": ""F"", ""vulnerable_flag"": false}]",35,F,,food
BAN-0019765,Bangladesh,Nayapara,3,"[{""age"": 24, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 58, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": true}]",58,M,disabled,shelter
BAN-0006703,Bangladesh,Nayapara,6,"[{""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 72, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 35, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": true}]",72,F,pregnant_lactating,"food,medical"
MYA-0074567,Myanmar,Sagaing,4,"[{""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 83, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 42, ""gender"": ""M"", ""vulnerable_flag"": false}]",83,F,elderly_at_risk,"food,livelihood,education"
BAN-0009642,Bangladesh,Camp 26,7,"[{""age"": 26, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 46, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 51, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": true}]",51,M,pregnant_lactating,education
MYA-0107039,Myanmar,Rakhine IDP Camps,4,"[{""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 65, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}]",65,M,,food
